24,4,8
28,5,0
26,1,7
17,1,6
13,5,18
17,1,5
1,3,16
30,1,26
27,6,26
30,1,29
24,5,19
14,2,25
8,5,1
29,5,8
13,4,19
24,5,16
28,6,23
17,2,26
5,5,4
3,1,7
21,5,12
5,4,24
12,5,16
17,3,23
30,2,20
31,3,30
12,1,2
16,2,4
13,4,17
7,4,22
7,1,13
12,1,25
16,6,6
18,5,24
22,1,18
8,1,3
17,5,28
27,2,9
12,3,27
7,2,14
15,5,28
20,6,30
16,2,10
7,6,22
28,5,6
7,1,15
22,1,31
1,4,0
10,2,2
25,4,16
11,6,9
2,1,17
25,5,24
3,2,17
24,3,8
25,1,2
15,6,2
28,1,9
15,3,24
23,4,29
25,6,26
14,3,4
12,4,24
29,6,5
11,1,20
13,3,7
2,6,21
5,6,26
14,4,18
29,5,30
21,2,23
4,1,14
16,5,21
3,5,23
9,6,12
17,4,14
24,4,17
24,5,31
25,1,14
10,2,21
6,4,22
14,4,27
25,4,13
12,4,15
7,5,20
8,2,7
30,2,23
20,1,18
15,3,20
15,3,14
27,2,0
28,3,12
9,1,13
4,4,14
15,5,8
31,5,26
12,5,2
8,4,30
22,5,26
21,4,8
22,6,0
31,2,27
10,5,24
24,2,23
18,3,16
27,6,18
29,6,19
15,6,8
2,3,18
26,3,31
19,6,7
9,5,23
26,3,2
30,5,29
7,4,19
30,6,9
8,3,11
28,4,14
25,3,5
31,1,16
10,1,4
4,3,10
11,5,12
0,2,9
13,5,20
2,4,4
15,5,29
0,4,21
30,1,13
15,5,31
30,6,18
28,3,22
26,1,5
12,6,13
17,5,6
11,5,17
18,5,26
26,6,15
3,4,14
31,1,8
2,3,20
25,4,31
12,1,17
21,4,0
12,3,19
6,6,30
11,2,29
27,5,19
21,4,6
26,5,17
24,5,20
4,6,22
22,4,4
15,3,31
12,6,27
17,5,30
11,3,10
31,4,5
30,2,25
28,2,26
