4,21
24,9
21,23
9,1
27,2
30,14
6,23
0,13
26,23
18,30
4,18
23,16
21,17
4,2
28,20
13,7
16,22
24,8
9,8
4,18
14,15
29,13
11,9
13,7
4,8
12,0
22,29
14,4
4,17
7,30
31,19
15,21
14,21
1,8
11,23
4,11
4,0
1,30
22,5
1,7
7,13
25,20
14,8
2,16
9,5
24,1
11,28
18,1
8,6
27,13
29,14
6,31
14,17
11,26
16,31
27,3
14,30
3,4
27,7
26,17
31,8
9,25
4,8
31,25
23,17
6,18
7,13
30,5
15,28
16,21
3,15
9,23
19,2
28,29
4,0
7,18
26,3
0,24
19,11
1,0
18,7
27,9
12,10
21,30
21,10
7,14
16,15
9,14
13,25
25,7
11,7
28,24
23,3
24,14
11,0
6,22
23,8
15,4
29,1
30,4
15,10
8,23
12,30
28,13
30,8
2,23
20,2
30,15
2,20
25,0
28,14
30,7
7,5
14,22
14,20
1,0
24,12
24,9
16,15
0,13
28,31
17,19
16,19
23,11
23,6
0,19
28,6
7,25
6,30
15,31
19,24
4,26
0,24
21,13
1,6
6,31
29,26
23,17
3,27
13,19
4,23
18,19
3,25
25,30
30,13
18,9
13,23
7,2
2,8
6,31
1,9
3,4
3,22
20,2
5,31
11,9
26,7
3,20
26,21
8,26
