6,11
34,62
1,12
15,44
13,48
54,38
51,52
12,29
50,41
19,34
41,14
34,29
5,24
42,7
19,53
12,3
40,36
6,14
7,56
11,22
60,11
39,52
9,16
59,16
63,18
35,15
3,46
15,48
53,24
2,40
22,44
2,24
50,20
50,54
55,53
26,12
38,19
63,7
57,15
15,59
38,21
27,8
16,5
22,26
26,38
20,32
60,26
27,37
40,35
8,19
14,37
11,54
19,12
27,31
48,1
38,27
42,26
7,3
48,51
51,14
7,1
0,31
37,2
56,44
52,28
48,19
18,4
26,55
22,24
59,16
48,12
57,3
62,55
49,2
29,10
48,27
12,38
23,20
3,19
49,32
19,49
2,16
41,12
26,43
45,55
54,50
58,18
19,40
41,10
48,62
3,11
31,60
3,4
27,54
50,57
36,24
5,59
12,47
55,5
37,42
14,17
18,60
16,15
5,15
4,25
37,8
45,51
6,58
25,12
17,5
0,44
31,20
22,45
60,59
37,5
1,0
0,38
14,47
40,12
0,3
14,50
18,58
22,59
31,57
49,29
27,12
3,44
61,44
26,40
21,62
2,8
48,44
14,2
44,3
39,50
20,18
61,52
33,46
55,28
19,48
37,24
56,15
61,40
10,52
38,58
13,12
1,7
37,30
22,39
49,0
13,25
61,43
14,32
28,10
1,21
4,39
13,25
31,48
3,11
9,40
54,3
40,14
33,54
51,14
32,42
41,7
55,1
47,30
36,10
51,29
63,54
59,17
8,23
18,50
44,28
44,57
14,24
11,32
16,34
24,45
7,16
6,27
28,8
44,13
55,40
34,42
43,42
36,45
13,56
32,61
19,10
56,44
8,20
12,55
6,55
21,43
14,57
46,55
49,31
12,9
53,6
4,48
13,42
12,63
42,55
12,49
38,0
7,41
22,35
50,60
48,51
3,63
13,61
16,4
32,36
50,43
39,47
47,25
19,18
20,5
34,58
41,45
54,42
5,11
50,15
1,10
32,26
54,58
38,31
44,49
37,28
16,31
23,29
13,5
38,4
49,36
38,32
3,47
59,40
21,38
40,39
16,21
18,7
37,10
23,10
15,59
41,28
54,61
43,25
0,17
21,36
5,23
42,43
28,47
28,34
21,42
16,43
39,52
51,14
29,6
7,62
62,25
17,16
4,56
6,25
52,14
8,36
54,19
30,61
43,33
21,4
12,46
54,57
60,37
49,61
15,32
1,11
40,9
11,14
38,1
47,24
25,58
39,36
17,28
7,55
16,57
52,61
22,6
38,19
49,33
50,19
51,8
56,0
49,1
49,0
24,62
44,12
61,38
30,51
28,42
3,17
39,19
12,44
62,29
37,33
5,59
51,20
7,17
48,43
2,26
17,1
42,54
63,62
1,28
40,9
10,28
11,44
10,44
23,34
19,49
50,18
40,50
22,53
11,9
55,3
31,19
41,38
59,52
20,39
1,7
4,63
0,13
57,21
30,53
63,62
16,36
24,44
36,14
28,12
49,51
7,42
18,32
18,22
58,42
30,46
47,11
6,16
9,22
22,6
50,36
49,34
44,40
37,34
50,52
46,54
6,22
4,2
46,20
38,62
50,4
23,54
33,52
5,62
18,4
47,33
27,13
53,16
9,15
32,34
43,59
15,46
45,43
16,38
41,59
55,26
19,63
48,36
54,34
47,5
21,32
51,9
26,22
12,31
43,23
