12,3,11
23,2,5
39,6,57
62,3,43
3,5,25
48,3,30
31,2,62
53,5,51
7,3,48
31,3,56
56,6,3
17,5,20
27,4,51
7,2,18
52,3,19
0,6,49
4,1,35
30,6,42
0,4,11
59,1,35
7,6,11
39,1,34
9,3,21
58,3,11
28,4,2
60,5,48
12,2,40
1,4,38
38,6,61
60,6,44
33,6,16
14,5,47
53,5,63
26,1,40
54,4,16
37,1,44
26,5,23
33,5,42
15,3,18
6,6,38
31,5,5
19,3,32
7,3,9
52,4,4
59,3,9
29,4,36
42,3,62
56,1,42
14,5,62
36,5,55
9,4,4
0,2,56
19,4,54
27,6,57
53,6,22
62,2,0
27,1,39
50,3,49
0,5,59
38,4,0
48,4,8
25,2,50
19,5,10
57,3,58
49,6,43
53,2,26
35,3,27
38,4,55
45,2,53
20,5,17
24,1,7
17,2,9
34,6,2
56,1,7
33,6,5
37,5,49
20,4,33
26,1,45
8,5,54
57,6,45
18,1,41
37,4,39
45,6,15
46,6,3
46,4,27
54,5,35
3,4,2
63,2,51
9,3,5
23,2,51
31,1,60
56,6,30
58,3,22
53,5,8
2,6,63
58,3,5
15,4,18
30,3,15
30,1,31
38,1,49
19,5,43
7,1,17
35,2,60
3,6,22
54,3,38
30,5,51
55,1,10
16,2,47
38,4,10
14,1,13
20,5,11
26,6,62
53,6,28
18,5,59
58,1,43
23,5,49
61,3,28
51,5,3
52,6,0
58,3,56
50,3,16
46,3,2
37,6,59
50,5,35
55,3,28
30,4,34
21,6,26
40,6,5
54,2,19
35,1,27
12,5,39
53,1,37
59,3,8
40,1,58
4,6,25
57,4,25
45,1,56
52,3,25
7,5,58
54,3,38
31,6,26
28,4,62
29,5,51
40,3,31
59,5,18
2,6,0
28,2,34
32,2,13
24,5,31
19,6,26
4,2,20
28,5,59
34,5,56
17,6,12
55,1,24
45,3,7
26,2,16
53,2,50
22,2,26
53,4,33
18,1,55
19,6,28
2,3,9
18,1,9
31,5,51
15,3,36
51,4,41
61,6,25
0,6,23
49,4,39
26,3,8
48,5,20
26,2,43
60,2,51
12,6,57
26,5,55
55,1,43
7,1,28
5,2,32
23,3,6
35,3,6
62,3,57
24,6,10
9,5,54
7,1,44
44,2,39
18,5,32
20,1,18
47,1,23
11,2,13
26,3,48
22,1,46
47,5,17
23,3,62
5,6,36
10,3,52
58,6,59
59,3,16
25,4,37
22,6,26
18,2,41
40,4,35
0,6,38
63,2,61
19,5,11
12,2,55
5,6,29
1,1,33
13,1,53
16,2,33
42,5,39
10,4,61
6,5,16
53,1,41
7,1,15
21,3,14
50,4,52
44,5,27
1,3,0
28,1,7
36,1,13
38,5,45
37,3,46
43,3,46
58,5,24
23,2,11
32,6,49
49,2,62
62,2,10
13,3,25
35,4,12
44,5,8
21,4,4
11,5,35
7,2,11
29,4,35
22,1,19
49,4,22
36,5,6
16,4,7
30,2,51
8,1,13
48,1,61
17,6,32
28,4,3
55,5,13
40,2,36
30,6,47
13,2,27
25,1,35
35,1,1
23,3,13
28,3,54
35,1,39
60,1,22
33,1,38
26,2,58
13,6,1
30,4,9
47,3,9
9,3,31
60,4,43
44,1,26
26,2,54
46,2,11
25,1,31
52,6,49
28,6,8
5,1,51
17,4,31
35,3,15
58,3,7
31,1,56
58,4,60
50,1,42
34,4,5
37,4,24
11,2,46
63,4,8
11,5,42
24,2,14
62,3,36
43,1,19
52,2,56
45,4,51
59,3,18
62,1,2
36,4,1
14,6,11
53,6,25
29,1,11
26,5,4
58,5,63
17,5,39
25,6,30
9,2,11
3,1,58
58,4,5
27,1,37
28,2,7
7,5,55
13,4,45
0,5,16
16,6,54
39,1,55
54,4,17
41,3,55
12,4,9
15,2,58
24,2,0
60,3,37
57,6,13
33,2,48
41,4,40
51,1,50
12,1,30
1,1,2
27,3,16
32,6,62
55,3,19
20,6,61
47,5,32
39,4,27
37,3,16
54,2,27
41,1,11
19,5,16
6,1,54
17,3,50
55,6,29
42,4,16
43,1,37
45,5,29
61,5,26
58,2,32
57,5,27
19,4,33
43,1,13
2,1,33
36,1,4
46,2,29
39,5,3
62,4,56
1,4,14
9,5,1
4,5,44
47,4,6
24,4,31
14,1,35
63,2,1
26,6,17
1,6,6
34,1,60
39,4,6
38,4,32
17,5,0
47,5,41
11,2,43
41,5,34
44,3,1
46,4,20
59,3,32
0,5,41
8,5,4
28,6,44
37,2,4
62,1,35
7,6,61
6,4,19
35,4,47
6,6,40
27,3,20
27,4,56
48,5,54
50,2,63
17,1,62
9,5,40
35,6,10
18,4,53
44,4,41
36,4,8
58,5,54
35,6,40
23,1,47
